population_series_id	anonymous_source_group	polarization_channel	drift_regime	distribution_bin_center	event_count
population_series_1	anonymous_group_1	channel_l	slow	0.158984811117116	49
population_series_1	anonymous_group_1	channel_l	slow	0.259985202761753	47
population_series_1	anonymous_group_1	channel_l	slow	0.36098559440639	62
population_series_1	anonymous_group_1	channel_l	slow	0.461985986051027	50
population_series_1	anonymous_group_1	channel_l	slow	0.562986377695664	61
population_series_1	anonymous_group_1	channel_l	slow	0.663986769340301	34
population_series_1	anonymous_group_1	channel_l	slow	0.764987160984938	21
population_series_1	anonymous_group_1	channel_l	slow	0.865987552629575	36
population_series_1	anonymous_group_1	channel_l	slow	0.966987944274212	20
population_series_1	anonymous_group_1	channel_l	slow	1.06798833591885	29
population_series_1	anonymous_group_1	channel_l	slow	1.16898872756349	21
population_series_1	anonymous_group_1	channel_l	slow	1.26998911920812	22
population_series_1	anonymous_group_1	channel_l	slow	1.37098951085276	26
population_series_1	anonymous_group_1	channel_l	slow	1.4719899024974	20
population_series_1	anonymous_group_1	channel_l	slow	1.57299029414203	6
population_series_1	anonymous_group_1	channel_l	slow	1.67399068578667	2
population_series_1	anonymous_group_1	channel_l	slow	1.77499107743131	38
population_series_1	anonymous_group_1	channel_l	slow	1.87599146907594	17
population_series_1	anonymous_group_1	channel_l	slow	1.97699186072058	13
population_series_1	anonymous_group_1	channel_l	slow	2.07799225236522	17
population_series_1	anonymous_group_1	channel_l	slow	2.17899264400985	4
population_series_1	anonymous_group_1	channel_l	slow	2.27999303565449	29
population_series_1	anonymous_group_1	channel_l	slow	2.38099342729913	20
population_series_1	anonymous_group_1	channel_l	slow	2.48199381894377	22
population_series_1	anonymous_group_1	channel_l	slow	2.5829942105884	0
population_series_1	anonymous_group_1	channel_l	slow	2.68399460223304	17
population_series_1	anonymous_group_1	channel_l	slow	2.78499499387768	32
population_series_1	anonymous_group_1	channel_l	slow	2.88599538552231	47
population_series_1	anonymous_group_1	channel_l	slow	2.98699577716695	28
population_series_1	anonymous_group_1	channel_l	slow	0.219728221782875	38
population_series_1	anonymous_group_1	channel_l	slow	0.320346804293164	4
population_series_1	anonymous_group_1	channel_l	slow	0.420965386803454	10
population_series_1	anonymous_group_1	channel_l	slow	0.521583969313744	12
population_series_1	anonymous_group_1	channel_l	slow	0.622202551824034	5
population_series_1	anonymous_group_1	channel_l	slow	0.722821134334323	4
population_series_1	anonymous_group_1	channel_l	slow	0.823439716844613	3
population_series_1	anonymous_group_1	channel_l	slow	0.924058299354902	0
population_series_1	anonymous_group_1	channel_l	slow	1.02467688186519	0
population_series_1	anonymous_group_1	channel_l	slow	1.12529546437548	0
population_series_1	anonymous_group_1	channel_l	slow	1.22591404688577	3
population_series_1	anonymous_group_1	channel_l	slow	1.32653262939606	1
population_series_1	anonymous_group_1	channel_l	slow	1.42715121190635	0
population_series_1	anonymous_group_1	channel_l	slow	1.52776979441664	0
population_series_1	anonymous_group_1	channel_l	slow	1.62838837692693	0
population_series_1	anonymous_group_1	channel_l	slow	1.72900695943722	0
population_series_1	anonymous_group_1	channel_l	slow	1.82962554194751	0
population_series_1	anonymous_group_1	channel_l	slow	1.9302441244578	3
population_series_1	anonymous_group_1	channel_l	slow	2.03086270696809	0
population_series_1	anonymous_group_1	channel_l	slow	2.13148128947838	0
population_series_1	anonymous_group_1	channel_l	slow	2.23209987198867	0
population_series_1	anonymous_group_1	channel_l	slow	2.33271845449896	0
