observation_id	animal_id	condition	session_phase	average_rate_hz	out_of_field_rate_hz	in_field_rate_hz	spatial_regularity_score	information_rate	spacing	orientation	speed_modulation_score
unit_session_0001	animal_01	reference	before_perturbation	1.3819513819513822	1.0519669734405872	2.1896517730332934	0.8847166705126704	0.13859948072428052	0.4321171942579585	60.94539590092288	0.15390846529565094
unit_session_0002	animal_01	reference	before_perturbation	1.7152373022481266	1.072173810369581	4.557628913454736	0.9588702294212844	0.6200710441088182	0.4107102270560372	5.44033203100551	0.14959135562801426
unit_session_0003	animal_01	reference	before_perturbation	0.829180486341439	0.4886047128461837	1.4611912060921777	0.8977035282454555	0.12872424757764572	0.4107102270560372	5.44033203100551	0.11756312459221455
unit_session_0005	animal_02	matrix_perturbed	before_perturbation	1.7733569780930412	0.9735411179558788	2.997447872631124	0.7730335451334702	0.2339996962391342	0.3249440554359425	42.273689006093726	0.1026403362412874
unit_session_0006	animal_02	matrix_perturbed	before_perturbation	0.5656229180546303	0.2815260148290234	0.944906377353816	0.3584300001538385	0.08929136419864937	0.3336690872704056	42.273689006093726	-0.012710391359552887
unit_session_0007	animal_02	matrix_perturbed	early_followup	1.9818930041152265	1.1724295466538674	3.0466425680759723	0.7577682574671859	0.19060927871876526	0.3024286144143291	36.869897645844006	0.09503051627563262
unit_session_0008	animal_02	matrix_perturbed	early_followup	0.7300411522633745	0.4643824456631517	1.2940819088502051	0.7364138123754109	0.07359673333199032	0.32106220118367185	45.0	0.127594301759973
unit_session_0009	animal_02	matrix_perturbed	mid_followup	1.096899740536225	0.7272143153289019	1.7615495216604158	0.4756587120172065	0.08903497976556136	0.30118395174181445	41.98721249581666	0.061875022847097234
unit_session_0010	animal_02	matrix_perturbed	mid_followup	0.8232985163994412	0.4463576686328269	1.460864073143184	0.8083322015345007	0.11774563386385425	0.3091762370343069	42.273689006093726	0.05262507721587828
unit_session_0011	animal_02	matrix_perturbed	late_followup	0.6369691923397169	0.3281475888257216	1.0978786217147238	0.5599143032497064	0.10457478534142244	0.3062442607850024	39.28940686250036	0.09720623142924432
unit_session_0012	animal_02	matrix_perturbed	late_followup	2.365528726061615	1.2386341499113944	4.120282512076022	0.4114217562341666	0.4608856107216089	0.29952256402344296	39.28940686250036	0.08690856348026774
unit_session_0013	animal_03	matrix_perturbed	before_perturbation	4.609816971713809	2.63411359819151	7.785056022572071	0.36021827024566344	0.4720560466657177	0.3221175115850098	21.801409486351822	0.0078096842585404815
unit_session_0014	animal_03	matrix_perturbed	early_followup	3.2392414296134207	1.7761873548730849	7.01011837922073	0.9409888391223028	0.6240074707121481	0.3183818745012109	23.19859051364821	0.19975624618767251
unit_session_0015	animal_03	matrix_perturbed	early_followup	1.6688548504741063	0.941212575782994	2.631081514192336	0.8141390930639033	0.1859610990407613	0.3081475363709561	23.19859051364821	0.049489134485638915
unit_session_0016	animal_03	matrix_perturbed	early_followup	0.4320713377357624	0.2654983750463392	0.7050687533584641	0.4978727786613082	0.043084744994118976	0.3203654291287768	21.801409486351822	0.12325016928497752
unit_session_0017	animal_03	matrix_perturbed	mid_followup	1.362307067424858	0.7356241030742754	2.3784310213841904	0.8656597439549756	0.1731677615655365	0.31206193434393154	21.801409486351822	0.11584428708979876
unit_session_0018	animal_04	matrix_perturbed	before_perturbation	1.013804551089446	0.4953626918430054	2.0532053379505197	0.8876684976768504	0.2854896471161173	0.4435733678779752	15.255118703057793	0.05955784257372523
unit_session_0019	animal_04	matrix_perturbed	before_perturbation	0.7756729810568295	0.2977882400988198	1.797558906197566	0.9266241341404816	0.3631305135226447	0.44249259324551976	14.036243467926486	0.014940647767900562
unit_session_0020	animal_04	matrix_perturbed	early_followup	1.6594682791054811	0.9238334077874324	3.4419351516404064	0.4215669899887683	0.572368300072823	0.4466670135837312	12.264773727892413	0.0914455702629106
unit_session_0021	animal_04	matrix_perturbed	after_followup	0.9935185185185184	0.7353798631342224	1.5850532413857874	0.5335029687853851	0.09944364244866076	0.4566935693307222	12.264773727892413	0.1283247057884334
