tracked_unit_id	animal_id	condition	repeated_environment_stability_1	repeated_environment_stability_2	new_environment_stability_1	new_environment_stability_2	new_environment_stability_3	between_repeated_environment_stability	repeated_environment_change	novel_vs_repeated_change
tracked_unit_001	animal_02	matrix_perturbed	0.6983120638657384	0.4150352219377662	0.4594093847329435	0.6254000172028981	0.6264853462388424	0.7141446800826804	-0.2832768419279722	-0.2389026791327949
tracked_unit_003	animal_02	matrix_perturbed	0.70917402088316	0.4094737421919713	0.5292159162158335	0.5501332264334785	0.47180817774356565	0.6897254297420138	-0.29970027869118865	-0.17995810466732642
tracked_unit_005	animal_02	matrix_perturbed	0.5922884706098994	0.40524606255217366	0.5751341117048332	0.41235869231021327	0.6135908466836368	0.46609911841998863	-0.18704240805772576	-0.017154358905066225
tracked_unit_007	animal_02	matrix_perturbed	0.467279644915359	0.011040187568565493	0.07104406761631937	0.2484007161099225	0.029124240099793985	0.12754354343148827	-0.4562394573467935	-0.39623557729903963
tracked_unit_009	animal_03	matrix_perturbed	0.5587930424598664	0.5295547143777211	0.5087707449235968	0.5441145133089197	0.7170476062175697	0.7111289977876729	-0.029238328082145326	-0.05002229753626963
tracked_unit_011	animal_03	matrix_perturbed	0.39939529935216883	0.5351001821518238	0.41432179762961724	0.4809055216792464	0.5233128168109199	0.6658074086750262	0.13570488279965492	0.014926498277448408
tracked_unit_013	animal_04	matrix_perturbed	0.8075455090835137	0.8727018988543083	0.7488041658775333	0.6982259762765204	0.4926878131458814	0.8558778011661552	0.06515638977079452	-0.058741343205980456
tracked_unit_015	animal_05	reference	0.5605680030984012	0.7475549075365566	0.6542195820060062	0.5118654454436244	0.7505818400510337	0.5800789311764012	0.18698690443815547	0.093651578907605
tracked_unit_017	animal_05	reference	0.7388593696927636	0.8034918351537977	0.6430461673066384	0.7604226199754414	0.8190939846303654	0.7929442168042752	0.06463246546103418	-0.09581320238612512
tracked_unit_019	animal_05	reference	0.6692561240280983	0.6791966147786616	0.6496249545967142	0.7206008684974855	0.7797677085821804	0.6822127945916481	0.009940490750563247	-0.0196311694313841
tracked_unit_021	animal_05	reference	0.5234772921441497	0.37871940770987805	0.5445799108875184	0.7332773141475233	0.6587826034937068	0.1801895137473764	-0.14475788443427168	0.021102618743368717
tracked_unit_023	animal_05	reference	0.6602902470946843	0.42305592988336654	0.5066882782163775	0.6679305083129963	0.7458961147762213	0.7367781175799203	-0.23723431721131777	-0.1536019688783068
tracked_unit_025	animal_05	reference	0.4534456615101013	0.34814807214548227	0.48181688920198174	0.6226318670316847	0.7207594678577298	-0.22522262948438848	-0.10529758936461903	0.02837122769188044
