observation_index	measurement_like_value	simulation_like_value
0	2.21	1.0378219398683135
1	0.53	1.157571747260463
2	1.92	0.9920437074490792
3	2.02	1.100778864254281
4	0.86	0.3872559583562878
5	2.05	1.2146073939791167
6	1.975	1.2325107342332533
7	1.828	1.196889005534756
8	1.229	0.6323822259774865
9	0.55	0.2805950364881965
10	1.766	1.090353043659319
11	0.16	0.9379673790944233
12	1.69	1.2070630583960154
13	1.5190000000000001	0.824533297442162
14	0.26	0.974221582056314
15	1.6269999999999998	0.9069820062144431
16	0.76	0.39510219541808667
17	0.31	0.9592596681496295
18	0.52	1.03380799955535
19	1.557	1.222298191219895
20	1.64	1.224111613504422
21	1.56	1.126651671604454
22	1.111	0.5239961313336967
23	1.1179999999999999	0.5377339311208996
24	1.609	1.2252159242969807
25	1.65	1.048184671689825
26	1.493	0.8550625768011443
27	1.173	0.66653723177278
28	1.281	0.7126070626220404
29	1.617	0.9515650460298547
30	0.6	0.3515349901584793
31	1.483	1.217260487845618
32	0.937	1.22411937192032
33	0.62	1.100629437533004
34	1.51	0.877990024022477
35	0.73	1.2123016521497574
36	1.5830000000000002	0.926799717292236
37	0.903	1.2304916930964125
38	0.66	1.0967002470427825
39	0.65	1.1093466842988418
40	0.08	0.8051789893309229
41	1.464	1.1478381311394932
42	1.1079999999999999	1.2256250556553094
43	1.396	1.1934829911622555
44	1.113	1.223172398305853
45	0.53	0.3423618055176617
46	0.08	0.8027238804886446
47	1.266	0.7222757591099532
48	0.67	0.40206038591110804
49	0.9	1.1593750120850932
50	1.3880000000000001	1.2249812828351794
51	1.381	1.2251609074944674
52	1.597	1.0999817730268795
53	0.28	0.9078122046434745
54	0.56	0.34938673029310424
55	0.1	0.7664622949993332
56	1.645	1.0656404204151488
57	1.53	0.9245366539944477
58	1.0497	1.225036766869742
59	0.76	1.1255948612006592
60	1.464	0.9014635320091257
61	0.01	0.6073664894543311
62	1.0468	1.2245860858233688
63	1.452	1.2261664244823318
64	1.454	1.2236150922958229
65	0.18	0.8430282399072458
66	0.86	1.2134163754815712
67	0.83	1.2002199686293635
68	1.239	0.7215248867949912
69	0.98	1.2208278098675405
70	0.973	1.195682221980269
71	1.3319999999999999	1.2214475351964684
72	0.02	0.6253524522641047
73	1.6769999999999998	1.117410604710835
74	1.0	1.225241111879877
75	1.0248	0.5651744515955528
76	1.67	1.1179018347837777
77	0.75	1.183856075878595
78	1.0934	0.6425230370310654
79	0.04	0.6774511767472454
80	0.28	0.8954560852409118
81	0.05	0.6427749333811165
82	0.07	0.7113352579194785
83	0.04	0.1693963014009348
84	1.244	1.1962544857859143
85	0.05	0.6932116622359188
86	1.199	1.2276286688854463
87	1.196	1.2286148336357114
88	1.3090000000000002	1.2183381819550074
89	1.175	1.2246189814312405
90	0.19	0.23698213422822217
91	0.13	0.8028805906811781
92	0.15	0.8176939169223779
93	0.9159999999999999	0.505492585454854
94	1.28	1.2289732617020435
95	0.29	0.24680143566319535
96	1.27	1.2233163317687592
97	0.29	0.889282367317241
98	0.34	0.9072552192131816
