,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6 FusionComplexes per vesicle/single clamp,,,,,,,,,,,,12 FusionComplexes per vesicle/single clamp,,,,,,,,,,,,6 FusionComplexes per vesicle/dual clamp,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model Output (Complete Data),,,,,,Model Output (Select Data & Temporal blurring),,,,,,Model Output (Complete Data),,,,,,Model Output (Select Data & Temporal blurring),,,,,,Model Output (Complete Data),,,,,,Model Output (Select Data & Temporal blurring),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time (sec),Calcium (µM),SensorA (Scheme 1),SensorB (Scheme 1),SensorB (Scheme 2),,Time (sec),Calcium (µM),SensorA (Scheme 1),SensorB (Scheme 1),SensorB (Scheme 2),,Time (sec),Calcium (µM),SensorA (Scheme 1),SensorB (Scheme 1),SensorB (Scheme 2),,Time (sec),Calcium (µM),SensorA (Scheme 1),SensorB (Scheme 1),SensorB (Scheme 2),,Time (sec),Calcium (µM),SensorA (Scheme 1),SensorB (Scheme 1),SensorB (Scheme 2),,Time (sec),Calcium (µM),SensorA (Scheme 1),SensorB (Scheme 1),SensorB (Scheme 2)
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
,0.020020000000000437,0.0109,4.898731392467201,4.68362459225948,4.93926981325458,,0.16,2.1737,37.34793,58.2605,4.3361,,0.020020000000000437,0.0109,5.58395333731732,6.499999524897659,5.11236885264821,,0.16,2.1737,40.077096176428974,62.46166,4.70471,,0.020020000000000437,0.0109,6.09914379941911,5.37427802094452,4.85971829059239,,0.16,2.1737,35.44666,35.89497,4.57291
,0.040039999999999965,0.3198,5.0394949756570195,4.73608382575052,4.95075924294912,,0.32,21.9782,70.68126,91.59384,8.66983,,0.040039999999999965,0.3198,5.598108850702499,6.5715443572925,5.13668367708776,,0.32,21.9782,73.41043,95.79499,10.11597,,0.040039999999999965,0.3198,6.144124867727021,5.49633473398481,4.86523271385592,,0.32,21.9782,68.78,69.22831,9.36521
,0.0600600000000004,0.6288,5.09816444546391,4.78082345511499,4.96224867264366,,0.48,61.2545,100,100,14.17894,,0.0600600000000004,0.6288,5.76116722441519,6.64408389734015,5.16099850152731,,0.48,61.2545,100,100,17.31588,,0.0600600000000004,0.6288,6.18938928976796,5.58135647738831,4.87074713711945,,0.48,61.2545,100,100,15.56572
,0.08008010000000013,0.9378,5.204622905819909,4.982307122621981,4.9737381023382,,0.64,83.1172,100,100,21.71474,,0.08008010000000013,0.9378,5.8413643148503,6.778473751295799,5.1853133259668605,,0.64,83.1172,100,100,26.65409,,0.08008010000000013,0.9378,6.21140879127244,5.68369481165208,4.87626156038298,,0.64,83.1172,100,100,23.76316
