dataset_path	index_0	index_1	value
0.5_Wigner_delay	0	0	0.5
0.5_Wigner_delay	0	1	-21.709821479999999
0.5_Wigner_delay	1	0	0.59999999999999998
0.5_Wigner_delay	1	1	-21.081597049999999
0.5_Wigner_delay	2	0	0.69999999999999996
0.5_Wigner_delay	2	1	-20.437727030000001
0.5_Wigner_delay	3	0	0.80000000000000004
0.5_Wigner_delay	3	1	-19.77759854
0.5_Wigner_delay	4	0	0.90000000000000002
0.5_Wigner_delay	4	1	-19.100570350000002
0.5_Wigner_delay	5	0	1
0.5_Wigner_delay	5	1	-18.405971359999999
0.5_Wigner_delay	6	0	1.1000000000000001
0.5_Wigner_delay	6	1	-17.693099149999998
0.5_Wigner_delay	7	0	1.2
0.5_Wigner_delay	7	1	-16.96121832
0.5_Wigner_delay	8	0	1.3
0.5_Wigner_delay	8	1	-16.209558810000001
0.5_Wigner_delay	9	0	1.3999999999999999
0.5_Wigner_delay	9	1	-15.43731416
0.5_Wigner_delay	10	0	1.5
0.5_Wigner_delay	10	1	-14.643639609999999
0.5_Wigner_delay	11	0	1.6000000000000001
0.5_Wigner_delay	11	1	-13.82765021
0.5_Wigner_delay	12	0	1.7
0.5_Wigner_delay	12	1	-12.988418709999999
0.5_Wigner_delay	13	0	1.8
0.5_Wigner_delay	13	1	-12.124973499999999
0.5_Wigner_delay	14	0	1.8999999999999999
0.5_Wigner_delay	14	1	-11.236296319999999
0.5_Wigner_delay	15	0	2
0.5_Wigner_delay	15	1	-10.32131998
0.5_Wigner_delay	16	0	2.1000000000000001
0.5_Wigner_delay	16	1	-9.3789259149999999
0.5_Wigner_delay	17	0	2.2000000000000002
0.5_Wigner_delay	17	1	-8.4079416889999994
0.5_Wigner_delay	18	0	2.2999999999999998
0.5_Wigner_delay	18	1	-7.4071383659999999
0.5_Wigner_delay	19	0	2.3999999999999999
0.5_Wigner_delay	19	1	-6.3752278249999996
0.5_Wigner_delay	20	0	2.5
0.5_Wigner_delay	20	1	-5.3108599700000001
0.5_Wigner_delay	21	0	2.6000000000000001
0.5_Wigner_delay	21	1	-4.212619868
0.5_Wigner_delay	22	0	2.7000000000000002
0.5_Wigner_delay	22	1	-3.0790248230000001
0.5_Wigner_delay	23	0	2.7999999999999998
0.5_Wigner_delay	23	1	-1.908521387
0.5_Wigner_delay	24	0	2.8999999999999999
0.5_Wigner_delay	24	1	-0.69948233500000001
0.5_Wigner_delay	25	0	3
0.5_Wigner_delay	25	1	0.549796379
0.5_Wigner_delay	26	0	3.1000000000000001
0.5_Wigner_delay	26	1	1.8410986629999999
0.5_Wigner_delay	27	0	3.2000000000000002
0.5_Wigner_delay	27	1	3.1762912920000002
0.5_Wigner_delay	28	0	3.2999999999999998
0.5_Wigner_delay	28	1	4.5573268349999996
0.5_Wigner_delay	29	0	3.3999999999999999
0.5_Wigner_delay	29	1	5.9862464739999997
0.5_Wigner_delay	30	0	3.5
0.5_Wigner_delay	30	1	7.4651826410000002
0.5_Wigner_delay	31	0	3.6000000000000001
0.5_Wigner_delay	31	1	8.9963614199999995
0.5_Wigner_delay	32	0	3.7000000000000002
0.5_Wigner_delay	32	1	10.582104640000001
0.5_Wigner_delay	33	0	3.7999999999999998
0.5_Wigner_delay	33	1	12.224831569999999
0.5_Wigner_delay	34	0	3.8999999999999999
0.5_Wigner_delay	34	1	13.927060060000001
0.5_Wigner_delay	35	0	4
0.5_Wigner_delay	35	1	15.691407099999999
0.5_Wigner_delay	36	0	4.0999999999999996
0.5_Wigner_delay	36	1	17.520588579999998
0.5_Wigner_delay	37	0	4.2000000000000002
0.5_Wigner_delay	37	1	19.41741803
0.5_Wigner_delay	38	0	4.2999999999999998
0.5_Wigner_delay	38	1	21.38480427
0.5_Wigner_delay	39	0	4.4000000000000004
0.5_Wigner_delay	39	1	23.42574767
0.5_Wigner_delay	40	0	4.5
0.5_Wigner_delay	40	1	25.543334659999999
0.5_Wigner_delay	41	0	4.5999999999999996
0.5_Wigner_delay	41	1	27.74073039
0.5_Wigner_delay	42	0	4.7000000000000002
0.5_Wigner_delay	42	1	30.021169010000001
0.5_Wigner_delay	43	0	4.7999999999999998
0.5_Wigner_delay	43	1	32.3879412
0.5_Wigner_delay	44	0	4.9000000000000004
0.5_Wigner_delay	44	1	34.844378599999999
0.5_Wigner_delay	45	0	5
0.5_Wigner_delay	45	1	37.393834519999999
0.5_Wigner_delay	46	0	5.0999999999999996
0.5_Wigner_delay	46	1	40.039660380000001
0.5_Wigner_delay	47	0	5.2000000000000002
0.5_Wigner_delay	47	1	42.785177339999997
0.5_Wigner_delay	48	0	5.2999999999999998
0.5_Wigner_delay	48	1	45.633642260000002
0.5_Wigner_delay	49	0	5.4000000000000004
0.5_Wigner_delay	49	1	48.588207410000003
0.5_Wigner_delay	50	0	5.5
0.5_Wigner_delay	50	1	51.651872969999999
0.5_Wigner_delay	51	0	5.5999999999999996
0.5_Wigner_delay	51	1	54.827431580000002
0.5_Wigner_delay	52	0	5.7000000000000002
0.5_Wigner_delay	52	1	58.117403969999998
0.5_Wigner_delay	53	0	5.7999999999999998
0.5_Wigner_delay	53	1	61.523964769999999
0.5_Wigner_delay	54	0	5.9000000000000004
0.5_Wigner_delay	54	1	65.048857699999999
0.5_Wigner_delay	55	0	6
0.5_Wigner_delay	55	1	68.693299170000003
0.5_Wigner_delay	56	0	6.0999999999999996
0.5_Wigner_delay	56	1	72.457869680000002
0.5_Wigner_delay	57	0	6.2000000000000002
0.5_Wigner_delay	57	1	76.342392590000003
0.5_Wigner_delay	58	0	6.2999999999999998
0.5_Wigner_delay	58	1	80.345799679999999
0.5_Wigner_delay	59	0	6.4000000000000004
0.5_Wigner_delay	59	1	84.465984059999997
0.5_Wigner_delay	60	0	6.5
0.5_Wigner_delay	60	1	88.699640639999998
0.5_Wigner_delay	61	0	6.5999999999999996
0.5_Wigner_delay	61	1	93.042095720000006
0.5_Wigner_delay	62	0	6.7000000000000002
0.5_Wigner_delay	62	1	97.487127659999999
0.5_Wigner_delay	63	0	6.7999999999999998
0.5_Wigner_delay	63	1	102.0267815
0.5_Wigner_delay	64	0	6.9000000000000004
0.5_Wigner_delay	64	1	106.6511823
0.5_Wigner_delay	65	0	7
0.5_Wigner_delay	65	1	111.34835169999999
0.5_Wigner_delay	66	0	7.0999999999999996
0.5_Wigner_delay	66	1	116.10403549999999
0.5_Wigner_delay	67	0	7.2000000000000002
0.5_Wigner_delay	67	1	120.90155059999999
0.5_Wigner_delay	68	0	7.2999999999999998
0.5_Wigner_delay	68	1	125.7216608
0.5_Wigner_delay	69	0	7.4000000000000004
0.5_Wigner_delay	69	1	130.54249290000001
0.5_Wigner_delay	70	0	7.5
0.5_Wigner_delay	70	1	135.33950580000001
0.5_Wigner_delay	71	0	7.5999999999999996
0.5_Wigner_delay	71	1	140.0855253
0.5_Wigner_delay	72	0	7.7000000000000002
0.5_Wigner_delay	72	1	144.7508579
0.5_Wigner_delay	73	0	7.7999999999999998
0.5_Wigner_delay	73	1	149.30349559999999
0.5_Wigner_delay	74	0	7.9000000000000004
0.5_Wigner_delay	74	1	153.70942070000001
0.5_Wigner_delay	75	0	8
0.5_Wigner_delay	75	1	157.93301919999999
0.5_Wigner_delay	76	0	8.0999999999999996
0.5_Wigner_delay	76	1	161.9376039
0.5_Wigner_delay	77	0	8.1999999999999993
0.5_Wigner_delay	77	1	165.68604250000001
0.5_Wigner_delay	78	0	8.3000000000000007
0.5_Wigner_delay	78	1	169.1414824
0.5_Wigner_delay	79	0	8.4000000000000004
0.5_Wigner_delay	79	1	172.26815239999999
0.5_Wigner_delay	80	0	8.5
0.5_Wigner_delay	80	1	175.0322165
0.5_Wigner_delay	81	0	8.5999999999999996
0.5_Wigner_delay	81	1	177.40264690000001
0.5_Wigner_delay	82	0	8.6999999999999993
0.5_Wigner_delay	82	1	179.3520795
0.5_Wigner_delay	83	0	8.8000000000000007
0.5_Wigner_delay	83	1	180.85760959999999
0.5_Wigner_delay	84	0	8.9000000000000004
0.5_Wigner_delay	84	1	181.90148790000001
0.5_Wigner_delay	85	0	9
0.5_Wigner_delay	85	1	182.47167719999999
0.5_Wigner_delay	86	0	9.0999999999999996
0.5_Wigner_delay	86	1	182.5622401
0.5_Wigner_delay	87	0	9.1999999999999993
