control_a	reference_frequency	forecast_frequency
0.75	11.5234375	11.5234375
0.755	11.71875	11.71875
0.76	11.9140625	11.9140625
0.7649999999999999	12.3046875	12.3046875
0.7699999999999999	12.5	12.5
0.7749999999999999	12.890625	12.890625
0.7799999999999999	13.0859375	13.0859375
0.7849999999999999	13.28125	13.28125
0.7899999999999998	13.671875	13.671875
0.7949999999999998	13.8671875	13.8671875
0.7999999999999998	14.0625	14.2578125
0.8049999999999997	14.453125	14.453125
0.8099999999999998	14.6484375	14.84375
0.8149999999999998	15.0390625	15.0390625
0.8199999999999997	15.234375	15.234375
0.8249999999999996	15.4296875	15.625
0.8299999999999997	15.8203125	15.8203125
0.8349999999999997	16.015625	16.2109375
0.8399999999999996	16.2109375	16.40625
0.8449999999999995	16.6015625	16.6015625
0.8499999999999996	16.796875	16.796875
