time	drive	reference_response	forecast_response
0.0	0.0	-0.2591246734875162	-0.2591246734875162
0.0025	0.05089279995764091	0.8019539236125046	0.3130817170345923
0.005	0.1015847492845577	0.317023788076002	0.2871151237630907
0.007500000000000001	0.1518757900157057	-0.766507796547139	0.285667157029044
0.01	0.2015674463891101	-2.316936651627865	0.3175651306058742
0.0125	0.2504636081390235	1.126921521235889	0.3677187012814296
0.015	0.2983713044535504	1.392832725971832	0.4293793018685997
0.0175	0.3451014655422818	-1.184443228630216	0.4974321296946006
0.02	0.3904696688083804	2.050123482937692	0.5681472539769417
0.0225	0.4342968666803154	0.07834039699365275	0.639104889618425
0.025	0.4764100932308283	3.247093857263819	0.7087231106116118
0.0275	0.5166431467944276	1.331461249955863	0.7758090662419408
0.03000000000000001	0.5548372458894313	0.515748385057756	0.8392749629086744
0.0325	0.5908416558559355	2.221686843225648	0.8980366044827752
0.035	0.6245142837366529	1.230947166767497	0.9510866458599396
0.03750000000000001	0.6557222390528984	1.379671247903516	0.9976901428623474
0.04	0.6843423582625975	1.445017012215338	1.037578419467265
0.0425	0.7102616908305183	1.317558841441388	1.071004465001928
0.045	0.7333779449924317	2.192093343167925	1.098622398146165
0.0475	0.7535998914539729	2.433514403426071	1.121274402818389
0.05	0.7708477234309864	2.015890108972334	1.139796431471035
0.0525	0.7850533716104441	3.480462313810026	1.1549009808547
0.05499999999999999	0.7961607727889249	0.2888201957212906	1.167137920331852
0.05749999999999999	0.8041260911284662	1.137660034108667	1.176908022359707
0.06000000000000001	0.8089178911565897	2.364016844644063	1.184501304350435
0.06250000000000001	0.8105172618277496	0.2838569195828915	1.190139237511079
0.065	0.8089178911565897	2.933921659582775	1.194008402590288
0.0675	0.8041260911284662	1.987827494535285	1.196280227894083
0.07	0.7961607727889248	1.00504940213774	1.197116205058948
0.07250000000000001	0.7850533716104441	1.64302952558699	1.196660693069869
0.07500000000000001	0.7708477234309864	0.4577190401817376	1.195024627471966
0.0775	0.7535998914539728	-0.4883532687885317	1.192263254463934
0.08	0.7333779449924317	1.815217618437313	1.188348797325477
0.0825	0.7102616908305182	1.885899987373204	1.183133681181023
0.085	0.6843423582625974	1.062194834268965	1.176291112633915
0.08750000000000001	0.6557222390528984	0.9451353164064331	1.167212415262409
0.09	0.6245142837366529	-1.13237354650796	1.154865746061772
0.0925	0.5908416558559354	0.1955121317950566	1.137768006281708
0.095	0.5548372458894311	0.6048482900510211	1.114463724818197
0.0975	0.5166431467944277	1.34525059076594	1.084522565713427
0.1	0.4764100932308284	2.533009525961641	1.048892215739501
0.1025	0.4342968666803156	0.653025313325872	1.008944092861905
0.105	0.3904696688083803	0.4014642613771053	0.965143936655017
0.1075	0.3451014655422819	2.128805590553475	0.9156709340461925
