sequence_coordinate	polarization_like_signal
0.533333333333333	-0.150000000000000
1.066666666666667	-0.149277473700000
1.600000000000000	-0.148522128225000
2.133333333333333	-0.147593676030000
2.666666666666667	-0.145931252077500
3.200000000000000	-0.143476065712500
3.733333333333333	-0.140490540375000
4.266666666666667	-0.136889671965000
4.800000000000000	-0.132919768455000
5.333333333333333	-0.128372946427500
5.866666666666666	-0.123341577090000
6.400000000000000	-0.117763827270000
6.933333333333334	-0.111197344762500
7.466666666666667	-0.103963865212500
8.000000000000000	-0.096062676405000
8.533333333333333	-0.087552684420000
9.066666666666666	-0.078632221470000
9.600000000000000	-0.069404488620000
10.133333333333333	-0.059800359120000
10.666666666666666	-0.049468312545000
11.199999999999999	-0.038422682970000
11.733333333333333	-0.026923770870000
12.266666666666667	-0.014899191945000
12.800000000000001	-0.002433822045000
13.333333333333334	0.010338967380000
13.866666666666667	0.023314460205000
14.400000000000000	0.036743543355000
14.933333333333334	0.050500322355000
15.466666666666667	0.064416451980000
16.000000000000000	0.078172863330000
16.533333333333335	0.091638570405000
17.066666666666666	0.105150759555000
17.600000000000001	0.118261598880000
18.133333333333333	0.130787699430000
18.666666666666668	0.142379344830000
19.199999999999999	0.152689413630000
19.733333333333334	0.161806519740000
20.266666666666666	0.169561352640000
20.800000000000001	0.176742646410000
21.333333333333332	0.182734083206250
21.866666666666667	0.186516946987500
22.399999999999999	0.189266461402500
22.933333333333334	0.191502707632500
23.466666666666665	0.193464641362501
23.199999999999999	0.195257808780001
22.666666666666668	0.196721652356251
22.133333333333333	0.197871824291251
21.600000000000001	0.198710989976251
21.066666666666666	0.199227305523751
20.533333333333335	0.199527526732501
20.000000000000000	0.199700296297501
19.466666666666665	0.199729441252501
18.933333333333334	0.199635927266251
18.399999999999999	0.199289798257501
17.866666666666667	0.198750597423751
17.333333333333332	0.198171175608751
16.800000000000001	0.197541403342501
16.266666666666666	0.196979123778751
15.733333333333333	0.196519457396251
15.199999999999999	0.196091976063751
14.666666666666666	0.195615441386251
14.133333333333333	0.195060631601251
13.600000000000000	0.194472497265001
13.066666666666666	0.193978676482501
12.533333333333333	0.193528013463751
12.000000000000000	0.193079823817501
11.466666666666667	0.192644612857501
10.933333333333334	0.192165581865001
10.400000000000000	0.191680214182501
9.866666666666667	0.191190334166251
9.333333333333334	0.190684601951251
8.800000000000001	0.190192110693751
8.266666666666668	0.189712663458751
7.733333333333333	0.189218044391251
7.200000000000000	0.188740803341251
6.666666666666667	0.188275217437501
6.133333333333334	0.187794075663751
5.600000000000000	0.187331002890001
5.066666666666666	0.186875641432501
4.533333333333333	0.186403176840001
4.000000000000000	0.185928011373751
3.466666666666667	0.185479816740001
2.933333333333333	0.185022139372501
2.400000000000000	0.184570442658751
1.866666666666667	0.184149888536251
1.333333333333333	0.183744011058751
0.800000000000000	0.183366444840001
0.266666666666667	0.183010546672501
-0.533333333333333	0.182651464868326
-1.066666666666667	0.182202498823651
-1.600000000000000	0.181470199702651
-2.133333333333333	0.180311938384651
-2.666666666666667	0.178558985322151
-3.200000000000000	0.176124673354651
-3.733333333333333	0.172902666987151
-4.266666666666667	0.169267666549651
-4.800000000000000	0.165314195712151
-5.333333333333333	0.160570734372151
-5.866666666666666	0.155055551314651
-6.400000000000000	0.149110870977151
-6.933333333333334	0.142657620394651
-7.466666666666667	0.135493295809651
-8.000000000000000	0.127794500464651
-8.533333333333333	0.119908032619651
-9.066666666666666	0.111413189952151
-9.600000000000000	0.102010716477151
-10.133333333333333	0.091782428427151
-10.666666666666666	0.080832080052151
-11.199999999999999	0.069717661452151
-11.733333333333333	0.058191688602151
-12.266666666666667	0.046169798652151
-12.800000000000001	0.033657532002152
-13.333333333333334	0.020943096327151
-13.866666666666667	0.007586795052151
-14.400000000000000	-0.006608560472848
-14.933333333333334	-0.021032551547849
-15.466666666666667	-0.036067457222849
-16.000000000000000	-0.051448992722849
-16.533333333333335	-0.066690107297849
-17.066666666666666	-0.081928917647848
-17.600000000000001	-0.097422898472849
-18.133333333333333	-0.112521339197849
-18.666666666666668	-0.126930572972848
-19.199999999999999	-0.140716079972849
-19.733333333333334	-0.153053661572849
-20.266666666666666	-0.163619195822848
-20.800000000000001	-0.173101077422849
-21.333333333333332	-0.179631152462849
-21.866666666666667	-0.182511029725349
-22.399999999999999	-0.184374715975349
