sequence_coordinate	current_or_voltage_signal
4.000000000000000	7.234300000000000
8.000000000000000	7.666900000000000
12.000000000000000	8.001999999999999
16.000000000000000	11.716180000000000
20.000000000000000	25.170929999999998
24.000000000000000	30.260330000000000
28.000000000000000	37.576520000000002
32.000000000000000	44.654319999999998
36.000000000000000	46.208919999999999
40.000000000000000	58.149490000000000
44.000000000000000	57.543360000000000
48.000000000000000	70.930319999999995
52.000000000000000	80.671610000000001
56.000000000000000	86.532589999999999
60.000000000000000	96.290539999999993
64.000000000000000	100.773600000000000
68.000000000000000	105.892200000000000
72.000000000000000	107.961200000000010
76.000000000000000	114.696800000000000
80.000000000000000	124.988500000000000
84.000000000000000	131.388800000000000
88.000000000000000	135.591600000000000
92.000000000000000	143.685100000000010
96.000000000000000	145.902500000000000
100.000000000000000	150.876200000000010
104.000000000000000	150.644100000000010
108.000000000000000	161.486500000000010
112.000000000000000	158.309500000000010
116.000000000000000	165.214000000000000
120.000000000000000	154.573399999999990
124.000000000000000	158.413900000000010
128.000000000000000	155.660699999999990
132.000000000000000	149.025600000000000
136.000000000000000	141.982599999999990
140.000000000000000	127.167000000000000
144.000000000000000	112.004200000000000
148.000000000000000	99.261439999999993
152.000000000000000	80.138159999999999
156.000000000000000	85.845320000000001
160.000000000000000	52.305248333333331
164.000000000000000	34.182793333333336
168.000000000000000	28.133333333333400
172.000000000000000	22.176519999999996
176.000000000000000	21.716666666679998
174.000000000000000	18.228769999999997
170.000000000000000	14.013185000000000
166.000000000000000	10.891421666666666
162.000000000000000	6.738185000000000
158.000000000000000	3.339371666666667
154.000000000000000	1.683346666666667
150.000000000000000	0.358046666666667
146.000000000000000	-1.676293333333334
142.000000000000000	-2.511168333333334
138.000000000000000	-7.585416666666667
134.000000000000000	-7.027468333333333
130.000000000000000	-8.526258333333333
126.000000000000000	-8.205256666666667
122.000000000000000	-6.947481666666667
118.000000000000000	-5.804948333333333
114.000000000000000	-6.194615000000000
110.000000000000000	-6.952395000000000
106.000000000000000	-8.025611666666666
102.000000000000000	-7.731916666666667
98.000000000000000	-5.819446666666667
94.000000000000000	-6.722378333333333
90.000000000000000	-5.761590000000001
86.000000000000000	-6.418783333333334
82.000000000000000	-6.786620000000000
78.000000000000000	-6.567010000000000
74.000000000000000	-6.892171666666666
70.000000000000000	-6.937821666666667
66.000000000000000	-6.582441666666667
62.000000000000000	-6.632698333333334
58.000000000000000	-6.937338333333333
54.000000000000000	-6.226195000000001
50.000000000000000	-6.664703333333333
46.000000000000000	-6.590075000000000
42.000000000000000	-6.242036666666667
38.000000000000000	-6.409693333333333
34.000000000000000	-6.642110000000000
30.000000000000000	-6.472871666666666
26.000000000000000	-6.011213333333333
22.000000000000000	-6.694690000000001
18.000000000000000	-5.871315000000000
14.000000000000000	-5.966208333333333
10.000000000000000	-5.528001666666667
6.000000000000000	-5.303956666666667
2.000000000000000	-5.021146666666667
-4.000000000000000	-5.378427700000000
-8.000000000000000	-7.123702000000000
-12.000000000000000	-12.006102000000000
-16.000000000000000	-17.087730000000001
-20.000000000000000	-25.917020000000001
-24.000000000000000	-33.025950000000002
-28.000000000000000	-44.342619999999997
-32.000000000000000	-42.686630000000001
-36.000000000000000	-51.792220000000000
