pixel_id	x_um	y_um	current_pA
pixel_0001	0	0	0.00369921326981818
pixel_0002	0.1	0	0.0123307108993939
pixel_0003	0.2	0	-0.00524055213224242
pixel_0004	0.3	0	0.0154133886242424
pixel_0005	0.4	0	0.0336011872008485
pixel_0006	0.5	0	0.0188043341215758
pixel_0007	0.6	0	0.0234283507088485
pixel_0008	0.7	0	0.0255862251162424
pixel_0009	0.8	0	0.0268192962061818
pixel_0010	0.9	0	0.0342177227458182
pixel_0011	1	0	0.0147968530792727
pixel_0012	1.1	0	0.0147968530792727
pixel_0013	1.2	0	0.0129472464443636
pixel_0014	1.3	0	0.00585708767721212
pixel_0015	1.4	0	0.0144885853067879
pixel_0016	1.5	0	0.0132555142168485
pixel_0017	1.6	0	0.0194208696665454
pixel_0018	1.7	0	0.00462401658727273
pixel_0019	1.8	0	0.0157216563967273
pixel_0020	1.9	0	0.0194208696665455
pixel_0021	2	0	0.0132555142168485
pixel_0022	2.1	0	0.0280523672961212
pixel_0023	2.2	0	0.0215787440739394
pixel_0024	2.3	0	0.00647362322218182
pixel_0025	2.4	0	0.00154133886242424
pixel_0026	2.5	0	0.0114059075819394
pixel_0027	2.6	0	0.0154133886242424
pixel_0028	2.7	0	0.0114059075819394
pixel_0029	2.8	0	0.0206539407564849
pixel_0030	0	0.1	-0.0107893720369697
pixel_0031	0.1	0.1	0.0166464597141818
pixel_0032	0.2	0.1	0.00123307108993939
pixel_0033	0.3	0.1	-0.0123307108993939
pixel_0034	0.4	0.1	-0.00524055213224242
pixel_0035	0.5	0.1	0.00616535544969697
pixel_0036	0.6	0.1	0.0120224431269091
pixel_0037	0.7	0.1	-0.00400748104230303
pixel_0038	0.8	0.1	0.0120224431269091
pixel_0039	0.9	0.1	0.126081518946242
pixel_0040	1	0.1	0.441439450196263
pixel_0041	1.1	0.1	0.387800857785555
pixel_0042	1.2	0.1	1.89214758752424
pixel_0043	1.3	0.1	316.781203557576
pixel_0044	1.4	0.1	271.263309075556
pixel_0045	1.5	0.1	0.161840580555293
pixel_0046	1.6	0.1	1.42111443114747
pixel_0047	1.7	0.1	0.963336789020505
pixel_0048	1.8	0.1	0.0144885853067879
pixel_0049	1.9	0.1	0.00246614217987879
pixel_0050	2	0.1	0.0095563009470303
pixel_0051	2.1	0.1	0.0197291374390303
pixel_0052	2.2	0.1	0
pixel_0053	2.3	0.1	0.0114059075819394
