region_index	coord_x	coord_y	coord_z	annotation_1	annotation_2	annotation_3
0	-10.40511417388916	-6.708501815795898	18.66432571411133	2.863341419237198	1.458409905433655	2.580817222595215
1	-4.54546594619751	9.856867969036102	17.08522701263428	3.252172253852493	1.146191388368607	2.477339267730713
2	-18.21783065795898	1.941536545753479	10.84855127334595	2.84879215779913	1.327587842941284	2.437985301017761
3	-21.01663589477539	0.4203555583953857	3.659525752067566	3.146143465972786	1.19124710559845	1.871452867984772
4	-17.32804489135742	4.581374526023865	-2.047729780276617	2.82843143222085	1.104893167813619	1.641560792922974
5	-14.32405153910319	6.809567769368489	13.12309137980143	2.918181832043454	1.267297863960266	2.022267540295919
6	-7.556382656097412	13.83205890655518	16.05916404724121	3.230836798349238	1.176257729530334	2.314139842987061
7	-8.69309409459432	18.32334613800049	10.94329865773519	3.086479451053574	1.128767967224121	1.952386101086934
8	-3.103580236434937	23.92389106750488	3.982321500778198	3.282208574806405	1.119096875190735	1.660839676856995
9	-6.900409698486328	18.87340545654297	5.64027738571167	2.918181832043454	1.109096646308899	1.587493419647217
10	-14.46131134033203	12.88807106018066	3.826492309570312	3.070156254663008	1.11219322681427	2.098636388778687
11	-7.321532249450684	12.99387264251709	3.288487434387207	2.82843143222085	1.078396439552307	1.878571629524231
12	-2.992941617965698	15.51775932312012	0.6572672128677368	2.873306632132152	1.026696562767029	1.849521279335022
13	-17.81308364868164	9.083844502766928	7.971799532572429	3.10019520342493	1.202731053034465	2.086350520451864
14	-9.808043956756592	17.01964473724365	11.53336238861084	3.282208574806405	1.129124164581299	2.044919788837433
15	-18.522292137146	-4.661307811737061	-0.8173285126686096	2.82843143222085	1.144574224948883	1.516003608703613
16	-17.79997634887695	-6.03608512878418	1.940106749534607	2.835626415041228	1.153113484382629	1.647701382637024
17	-2.304258942604065	12.64673233032227	8.664221715927123	3.061317079210698	0.9813352465629578	1.924858403205872
18	-2.181268771489461	-15.19675286610921	10.37121391296387	2.840425583614991	1.162596106529236	2.098517139752706
19	-1.817915916442871	14.50662708282471	1.736731305718422	3.282208574806405	0.9996638298034668	1.860382258892059
20	-13.25475597381592	-10.03553009033203	14.40600204467773	2.204255311080901	1.401776790618896	1.711118698120117
21	-16.01719951629639	-11.57792711257935	16.41545009613037	2.204255311080901	1.385685205459595	1.821965277194977
22	-17.22241020202637	-16.600830078125	10.15927791595459	3.192155011883016	1.324530720710754	1.724849939346313
23	-10.29473495483398	-19.99996948242188	19.65958404541016	2.899002770232635	1.314565539360046	1.922919154167175
24	-3.719463157653808	-25.45901298522949	10.95659456253052	2.718127696194939	1.267550849914551	1.922814202308655
25	-23.97956085205078	-14.25272178649902	12.91138648986816	2.920454524041312	1.273841977119446	2.036670207977295
26	-11.83806238174438	-19.92396831512451	14.40920352935791	2.778224435390302	1.297600722312927	1.803777575492859
27	-20.00147285461426	-15.09136481583118	4.735989022254944	2.94380901920769	1.255847907066345	2.027250981330872
28	-24.86749887466431	-9.752745687961578	2.564581364393234	2.774038473544444	1.277442157268524	1.862429022789001
29	-23.42528533935547	-8.678169250488281	2.364649295806885	2.214592313178114	1.35650372505188	1.842287421226501
30	-20.34953901502821	-9.320424397786459	-8.490751889016893	2.738714269476084	1.245792322688632	1.958693755997552
31	-21.97914441426595	-15.71787055333455	-6.099553386370341	2.47708254575848	1.298202713330587	1.958476384480794
32	-13.2261791229248	-14.84885835647583	-8.455578327178955	2.781512632494099	1.131187319755554	1.55067241191864
33	-18.21088981628418	3.654517650604248	-8.35629653930664	2.611374398531312	1.124705076217651	1.741382122039795
34	-12.37331390380859	-15.31197452545166	-8.709246635437012	2.781512632494099	1.178961515426636	1.348119378089905
35	-12.54828119277954	-5.53862738609314	-13.44134092330933	2.781512632494099	1.095385372638702	2.05423766374588
36	-14.79847494761149	-27.48693752288818	8.388634184996286	2.296891766712622	1.372904221216838	1.745931645234426
37	-10.52692651748657	-27.54231739044189	1.898957401514053	2.000034251154364	1.367451965808868	1.544480323791504
38	-12.03292465209961	-36.65202331542969	4.554897785186768	1.655477217172715	1.48067307472229	1.602183103561401
